SEQ,Candidato,Coligacao,Partido,Num,12,13,100,101,TOTAL
1,TIAGO SILVA,PDT / PPS / PV,PDT,12555,2242,778,2252,1588,6860
2,DALMO MENESES,PP / PSD,PP,11234,215,992,2513,268,3988
3,DEGLABER GOULART,PMDB / PHS,PMDB,15369,279,187,260,2901,3627
4,GUI PEREIRA,PP / PSD,PSD,55100,514,673,1554,761,3502
5,BADEKO,PP / PSD,PSD,55555,564,496,714,1709,3483
6,MARCELO DA INTENDÊNCIA,PDT / PPS / PV,PDT,12111,176,65,3084,105,3430
7,ERÁDIO GONÇALVES,PP / PSD,PSD,55633,203,2286,487,214,3190
8,CESAR FARIA,PP / PSD,PSD,55200,741,430,1086,923,3180
9,CELSO SANDRINI,PMDB / PHS,PMDB,15015,339,2122,372,303,3136
10,AFRÂNIO BOPPRÉ,PCB / PSOL,PSOL,50100,907,279,122,726,2034
11,DINHO,PMDB / PHS,PMDB,15123,183,143,2576,167,3069
12,ED,PSDC / PSB,PSB,40100,811,235,143,474,1663
13,CELIO JOAO,PMDB / PHS,PMDB,15555,319,1421,886,222,2848
14,PEDRÃO,PP / PSD,PP,11333,498,187,586,1428,2699
15,EDINHO LEMOS,PSDB,PSDB,45122,220,175,2084,183,2662
16,VANDERLEI (LELA),PDT / PPS / PV,PDT,12666,146,1941,335,136,2558
17,DOUTOR RICARDO,PRB / PR / PRP / PC do B / PT do B,PC do B,65555,383,238,1476,374,2471
18,CORONEL PAIXÃO,PDT / PPS / PV,PDT,12017,254,1644,270,225,2393
19,ROBERTO KATUMI,PSDC / PSB,PSB,40777,143,1078,950,150,2321
20,BISPO JERONIMO ALVES,PRB / PR / PRP / PC do B / PT do B,PRB,10123,456,499,874,480,2309
21,PROFESSOR LINO PERES,PT,PT,13333,378,256,1304,236,2174
22,FURLAN,DEM / PSC,PSC,20104,201,328,814,417,1760
23,GUILHERME,PSDB,PSDB,45222,112,66,1336,101,1615
